date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:07:42	38374/38374	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:23%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/GPL.txt	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/GPL.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:42	8411/8411	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:23%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/Makefile	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/Makefile.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:45	528403/528403	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:24%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/dds.cpp	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/dds.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:45	43553/43553	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:24%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/dll.h	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/dll.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:45	11581/11581	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:27%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/mode2.txt	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/mode2.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:45	12219/12219	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:27%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/readme.txt	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/readme.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:46	41815/41815	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:27%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/release_notes.txt	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/release_notes.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:46	247/247	---M--	200	added ('OK')	image/png	etag:%22ed80ebf-f7-4f0b8100a26b2%22	http://sources.debian.net/static/img/gradient.png	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/static/img/gradient.png	(from http://sources.debian.net/static/css/debian.css)
09:07:46	318/318	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Jul%202014%2006:10:28%20GMT	http://sources.debian.net/static/css/Pics/emblem-downloads.png	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/static/css/Pics/emblem-downloads.png	(from http://sources.debian.net/static/css/debian.css)
09:07:47	16458/16458	---M--	200	added ('OK')	image/png	etag:%22ed80ec1-404a-4f0b8100a26b2%22	http://sources.debian.net/static/img/irill.png	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/static/img/irill.png	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:47	311/311	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Jul%202014%2006:10:28%20GMT	http://sources.debian.net/static/css/Pics/admon-tip.png	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/static/css/Pics/admon-tip.png	(from http://sources.debian.net/static/css/debian.css)
09:07:47	317/317	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Jul%202014%2006:10:28%20GMT	http://sources.debian.net/static/css/Pics/admon-important.png	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/static/css/Pics/admon-important.png	(from http://sources.debian.net/static/css/debian.css)
09:07:47	315/315	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Jul%202014%2006:10:28%20GMT	http://sources.debian.net/static/css/Pics/admon-warning.png	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/static/css/Pics/admon-warning.png	(from http://sources.debian.net/static/css/debian.css)
09:07:47	312/312	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Jul%202014%2006:10:29%20GMT	http://sources.debian.net/static/css/Pics/admon-note.png	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/static/css/Pics/admon-note.png	(from http://sources.debian.net/static/css/debian.css)
09:07:48	10598/10598	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:29%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/Makefile	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/Makefile.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:48	8788/8788	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:29%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/copying	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/copying.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:49	181651/181651	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:29%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/ddd.cpp	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/ddd.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:49	10087/10087	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:30%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/deals.gib	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/deals.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:50	23616/23616	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:30%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/defs.cpp	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/defs.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:50	15636/15636	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:31%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/defs.h	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/defs-2.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:50	64614/64614	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:32%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/giblib.cpp	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/giblib.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:50	28211/28211	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:32%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/giblib.h	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/giblib-2.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:51	38770/38770	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:32%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/license	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/license.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:51	28761/28761	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:32%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/readme.txt	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/readme.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:51	57893/57893	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:33%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/rng.cpp	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/rng.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:52	25034/25034	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:33%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/rng.h	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/rng-2.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:52	16767/16767	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:33%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/test.gib	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/test.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:52	17865/17865	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:34%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/timer.cpp	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/timer.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:53	14709/14709	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:34%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/timer.h	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd/timer-2.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd)
09:07:53	8935/8935	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:34%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/patches	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/patches.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:53	6789/6789	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:35%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/source	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/source.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:53	8551/8551	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:35%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/README.Debian	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/README.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:54	11379/11379	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:35%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/README.source	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/README-2.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:54	41648/41648	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:35%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/SolveBoard.3	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/SolveBoard.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:54	18241/18241	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:36%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/changelog	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/changelog.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:55	7404/7404	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:36%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/compat	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/compat.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:55	10172/10172	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:36%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/control	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/control.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:55	11895/11895	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:36%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/copyright	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/copyright.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:55	18631/18631	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:37%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/dds.6	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/dds.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:56	7470/7470	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:37%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/dds.docs	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/dds-2.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:56	7432/7432	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:37%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/dds.examples	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/dds-3.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:56	7435/7435	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:37%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/dds.manpages	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/dds-4.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:56	7565/7565	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:38%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/libdds-dev.docs	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/libdds-dev.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:56	7470/7470	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:38%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/libdds-dev.manpages	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/libdds-dev-2.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:57	7519/7519	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:38%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/python-pydds.examples	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/python-pydds.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:57	12004/12004	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:38%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/rules	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/rules.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:57	7627/7627	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:39%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/watch	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/watch.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian)
09:07:58	31751/31751	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:39%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/python/pydds.c	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/python/pydds.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/python)
09:07:58	8501/8501	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:39%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/python/setup.py	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/python/setup.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/python)
09:07:58	12628/12628	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:39%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/python/t1	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/python/t1.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/python)
09:07:58	10671/10671	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:39%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/python/trydds.py	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/python/trydds.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/python)
09:07:58	1972/1972	---M-Z	200	added ('OK')	text/css	etag:%22181b35-7b4-4ddf281c77800%22	http://sources.debian.net/javascript/highlight/styles/googlecode.css	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/javascript/highlight/styles/googlecode.css	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/DDS_alg_descr-revE4.rtf)
09:07:59	1313/1313	---M-Z	200	added ('OK')	text/css	etag:%22ed80eb2-521-4f0b81009d892%22	http://sources.debian.net/static/css/source_file.css	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/static/css/source_file.css	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/DDS_alg_descr-revE4.rtf)
09:08:00	13293/13293	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:41%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/patches/ddd-dds120	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/patches/ddd-dds120.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/patches)
09:08:00	12245/12245	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:41%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/patches/ddd-exitcode	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/patches/ddd-exitcode.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/patches)
09:08:00	8403/8403	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:42%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/patches/ddd-fix-testsuite	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/patches/ddd-fix-testsuite.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/patches)
09:08:01	8781/8781	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:42%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/patches/ddd-gibware-url	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian/patches/ddd-gibware-url.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian/patches)
09:08:01	166920/166920	---M-Z	200	added ('OK')	application/javascript	etag:%22181b5f-28c08-4e5b8da6a8600%22	http://sources.debian.net/javascript/highlight/highlight.pack.js	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/javascript/highlight/highlight.pack.js	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1/DDS_alg_descr-revE4.rtf)
